solver.mapper.target.function.inner.inner;randomGenerator.seed;solver.mapper.target.signals;iterations;evals;births;elapsed.seconds;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[fitness]→uniqueness;best→fitness→s.task.l.xVelocity;best→genotype→size
er.ds.num.treeMRF(postOperator=tanh);2;1;0;100;100;0.0;100;2;1;1.0;1.0;1.0;0.7758433238274282;10
er.ds.num.treeMRF(postOperator=tanh);1;1;0;100;100;0.0;100;1;1;1.0;1.0;1.0;1.5039096681187782;10
er.ds.num.treeMRF(postOperator=tanh);3;1;0;100;100;0.0;100;1;1;1.0;1.0;1.0;1.3180076196589248;10
er.ds.num.treeMRF(postOperator=tanh);2;1;1;200;200;50.605;100;1;1;1.0;1.0;1.0;1.077026288156079;10
er.ds.num.treeMRF(postOperator=tanh);1;1;1;200;200;62.027;100;3;1;1.0;1.0;1.0;1.5039096681187782;10
er.ds.num.treeMRF(postOperator=tanh);3;1;1;200;200;71.463;100;1;1;1.0;1.0;1.0;1.3180076196589248;10
er.ds.num.treeMRF(postOperator=tanh);2;1;2;300;300;78.938;100;1;1;1.0;1.0;1.0;1.205478790663197;10
er.ds.num.treeMRF(postOperator=tanh);1;1;2;300;300;85.978;100;6;1;1.0;1.0;1.0;1.5039096681187782;10
er.ds.num.treeMRF(postOperator=tanh);3;1;2;300;300;91.503;100;1;1;1.0;1.0;1.0;1.4182759974207855;18
er.ds.num.treeMRF(postOperator=tanh);2;1;3;400;400;101.038;100;1;1;1.0;1.0;1.0;1.2212247279272486;18
er.ds.num.treeMRF(postOperator=tanh);1;1;3;400;400;110.769;100;14;1;1.0;1.0;1.0;1.5039096681187782;10
er.ds.num.treeMRF(postOperator=tanh);3;1;3;400;400;121.904;100;1;1;1.0;1.0;1.0;1.4182759974207855;18
er.ds.num.treeMRF(postOperator=tanh);2;1;4;500;500;133.791;100;1;78;1.0;1.0;1.0;1.227200867835459;22
er.ds.num.treeMRF(postOperator=tanh);1;1;4;500;500;144.646;100;1;4;1.0;1.0;1.0;1.6017786202801565;18
er.ds.num.treeMRF(postOperator=tanh);3;1;4;500;500;154.967;100;1;2;1.0;1.0;1.0;1.4332310109098252;18
er.ds.num.treeMRF(postOperator=tanh);2;1;5;600;600;165.189;100;1;51;1.0;1.0;1.0;1.5039096681187782;10
er.ds.num.treeMRF(postOperator=tanh);1;1;5;600;600;172.552;100;1;5;1.0;1.0;1.0;1.6017786202801565;18
er.ds.num.treeMRF(postOperator=tanh);3;1;5;600;600;181.51;100;1;11;1.0;1.0;1.0;1.6515008584505884;18
er.ds.num.treeMRF(postOperator=tanh);2;1;6;700;700;191.194;100;3;10;1.0;1.0;1.0;1.5039096681187782;10
er.ds.num.treeMRF(postOperator=tanh);1;1;6;700;700;199.124;100;1;6;1.0;1.0;1.0;1.6157509994962977;18
er.ds.num.treeMRF(postOperator=tanh);3;1;6;700;700;206.529;100;1;7;1.0;1.0;1.0;1.652631625376222;18
er.ds.num.treeMRF(postOperator=tanh);2;1;7;800;800;212.865;100;6;7;1.0;1.0;1.0;1.5039096681187782;10
er.ds.num.treeMRF(postOperator=tanh);1;1;7;800;800;219.161;100;1;37;1.0;1.0;1.0;1.6157509994962977;18
er.ds.num.treeMRF(postOperator=tanh);3;1;7;800;800;226.956;100;1;13;1.0;1.0;1.0;1.652631625376222;18
er.ds.num.treeMRF(postOperator=tanh);2;1;8;900;900;236.987;100;14;13;1.0;1.0;1.0;1.5039096681187782;10
er.ds.num.treeMRF(postOperator=tanh);1;1;8;900;900;249.69;100;2;28;1.0;1.0;1.0;1.6157509994962977;34
er.ds.num.treeMRF(postOperator=tanh);3;1;8;900;900;260.256;100;1;1;1.0;1.0;1.0;1.652631625376222;18
er.ds.num.treeMRF(postOperator=tanh);2;1;9;1000;1000;271.439;100;1;13;1.0;1.0;1.0;1.583774574561146;18
er.ds.num.treeMRF(postOperator=tanh);1;1;9;1000;1000;282.598;100;1;2;1.0;1.0;1.0;1.6452037656930807;22
er.ds.num.treeMRF(postOperator=tanh);3;1;9;1000;1000;294.267;100;1;12;1.0;1.0;1.0;1.664978088689679;18
er.ds.num.treeMRF(postOperator=tanh);2;1;10;1100;1100;306.451;100;1;11;1.0;1.0;1.0;1.583774574561146;18
er.ds.num.treeMRF(postOperator=tanh);1;1;10;1100;1100;318.695;100;1;26;1.0;1.0;1.0;1.6452037656930807;22
er.ds.num.treeMRF(postOperator=tanh);3;1;10;1100;1100;330.996;100;1;1;1.0;1.0;1.0;1.6746470426856024;18
er.ds.num.treeMRF(postOperator=tanh);2;1;11;1200;1200;343.231;100;1;5;0.99;1.0;1.0;1.583774574561146;18
er.ds.num.treeMRF(postOperator=tanh);1;1;11;1200;1200;352.374;100;2;2;1.0;1.0;1.0;1.6452037656930807;30
er.ds.num.treeMRF(postOperator=tanh);3;1;11;1200;1200;359.855;100;1;34;1.0;1.0;1.0;1.6746470426856024;18
